nid|neighborhd|place|placecode|nbr_type|po_name|metro|country|state|statefips|county|countyfips|mcd|mcdfips|cbsa|cbsacode|cbsatype|cenlat|cenlon|color|ncs_code|release|wkt
9231|Bellaire|Bellaire|07300|N|BELLAIRE|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.70785403|-95.46569802|1|30300000|1.10.2|MULTIPOLYGON(((-95.47621884 29.70743004,-95.47611912 29.70342999,-95.47411896 29.70452997,-95.47411896 29.69832996,-95.48041896 29.69832996,-95.48044488 29.70129096,-95.48455716 29.69903403,-95.484519 29.69462997,-95.48441892 29.69102997,-95.47581888 29.69112996,-95.47571916 29.68983,-95.45101812 29.69002998,-95.45081796 29.68943004,-95.44739004 29.69009604,-95.44768308 29.70593001,-95.44683888 29.70593001,-95.44731084 29.72299104,-95.45151816 29.72252898,-95.45145012 29.72041704,-95.459931 29.72033802,-95.45983596 29.72612601,-95.46019416 29.72627802,-95.46428412 29.725785,-95.46401808 29.72022903,-95.46821892 29.72022903,-95.46801912 29.71293003,-95.47271892 29.71283004,-95.47271892 29.70732996,-95.47621884 29.70743004)))
9232|Bunker Hill Village|Bunker Hill Village|11300|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.76412851|-95.53442004|2|30300000|1.10.2|MULTIPOLYGON(((-95.54011992 29.76512796,-95.54622012 29.76532803,-95.54672016 29.76422796,-95.54645484 29.75905602,-95.54608512 29.75872401,-95.52971988 29.759328,-95.52962016 29.75412897,-95.52621996 29.75412897,-95.52602016 29.752029,-95.52561984 29.75122899,-95.52301992 29.75132898,-95.52211992 29.76272802,-95.52251988 29.77342803,-95.52332016 29.77352802,-95.52341988 29.77402797,-95.52412008 29.77402797,-95.52441996 29.77692804,-95.52552012 29.77702803,-95.52651984 29.77692804,-95.52651984 29.77352802,-95.53151988 29.77322796,-95.53458096 29.77322796,-95.53712004 29.77332804,-95.53731984 29.77562799,-95.54032008 29.77562799,-95.54011992 29.76512796)))
9557|Hilshire Village|Hilshire Village|34148|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.7895774841309|-95.4877815246582|3|30300000|1.10.2|MULTIPOLYGON(((-95.48481888 29.78422704,-95.48491896 29.79492696,-95.49321912 29.79492696,-95.49641916 29.79472698,-95.49661896 29.79442701,-95.49331884 29.79282699,-95.49221904 29.79172701,-95.49221904 29.790927,-95.49051912 29.78942697,-95.49121896 29.78812701,-95.48861904 29.78672697,-95.48761896 29.785527,-95.48681904 29.785527,-95.48641908 29.78452701,-95.48481888 29.78422704)))
9558|Acres Home|Houston|35000|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.869533|-95.4395415|4|30300000|1.10.2|MULTIPOLYGON(((-95.46071688 29.84697198,-95.45802084 29.84640696,-95.45852412 29.84220702,-95.45798016 29.84092596,-95.411079 29.84102496,-95.41081584 29.84102496,-95.41091592 29.84702499,-95.41131588 29.84892498,-95.41209312 29.85164397,-95.41261584 29.86962399,-95.41214208 29.87424198,-95.41155888 29.87510499,-95.42922984 29.898099,-95.429655 29.89814004,-95.429475 29.88490104,-95.43117708 29.88486504,-95.45061708 29.88452403,-95.45201712 29.88542403,-95.45781708 29.891124,-95.46098508 29.89123101,-95.46106788 29.88985698,-95.46305904 29.88992304,-95.46297588 29.89156698,-95.46788484 29.89173699,-95.46791688 29.89140201,-95.46783588 29.89097199,-95.46754284 29.89025001,-95.46744816 29.88993303,-95.46735384 29.88844398,-95.46716412 29.88759501,-95.46715584 29.887236,-95.46727284 29.88689103,-95.46763608 29.88639396,-95.46804792 29.88557001,-95.46826716 29.88486099,-95.46732288 29.88287199,-95.465232 29.88246402,-95.46193584 29.88224703,-95.454297 29.88341496,-95.45320404 29.88206901,-95.451282 29.88239499,-95.45061708 29.88162396,-95.45091696 29.87812404,-95.45081688 29.87302401,-95.45161788 29.87300898,-95.45171688 29.87062497,-95.44931712 29.87062497,-95.44921704 29.86302501,-95.45181696 29.86342497,-95.46761808 29.86322499,-95.46741792 29.86162497,-95.462217 29.85802497,-95.46461712 29.85422499,-95.463117 29.85342498,-95.46371712 29.85122502,-95.46151716 29.849625,-95.46141708 29.848725,-95.46051708 29.84792499,-95.46071688 29.84697198)))
9559|Addicks/ Park Ten|Houston|35000|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.820488985|-95.64074892|4|30943600|1.10.2|MULTIPOLYGON(((-95.66189496 29.81524302,-95.662107 29.81313,-95.66790804 29.81314701,-95.66947404 29.81315196,-95.67285012 29.81316204,-95.67289584 29.81463003,-95.67605484 29.81462301,-95.67594792 29.81245599,-95.67675684 29.81157102,-95.68232604 29.81157102,-95.68237212 29.80739097,-95.68517904 29.80729998,-95.68539288 29.80580004,-95.69315988 29.80562904,-95.69340396 29.80446498,-95.70434508 29.80425501,-95.70443688 29.79964296,-95.70195216 29.79968103,-95.70179304 29.79166698,-95.70587112 29.79164799,-95.70591684 29.79014499,-95.69605608 29.79008199,-95.69375712 29.78433999,-95.69287296 29.78429904,-95.69153484 29.78419302,-95.69129616 29.78416098,-95.69085084 29.78400303,-95.69048112 29.78373303,-95.68823292 29.78373096,-95.68820196 29.79101898,-95.63486112 29.79090099,-95.62414212 29.79069003,-95.59027692 29.79015498,-95.588325 29.79046503,-95.58591588 29.79172602,-95.58559584 29.79225999,-95.57758692 29.80602396,-95.57640216 29.80959399,-95.575581 29.83188996,-95.57563392 29.83360797,-95.57651916 29.83784598,-95.57761392 29.84016996,-95.58883188 29.84991903,-95.58974808 29.84929704,-95.58990108 29.84312898,-95.59777392 29.84308299,-95.59782 29.84133996,-95.60486988 29.84126004,-95.60502288 29.84286996,-95.61713904 29.84982399,-95.61708792 29.85317001,-95.615415 29.85313698,-95.615361 29.85515703,-95.618619 29.85506901,-95.61857292 29.85715899,-95.62038012 29.85724701,-95.62136796 29.85723504,-95.621445 29.85700896,-95.62175604 29.85668496,-95.62580208 29.85665904,-95.62984704 29.856618,-95.62980492 29.84432004,-95.63071788 29.844243,-95.630967 29.84107401,-95.63139108 29.84109399,-95.63151096 29.83870296,-95.63372388 29.83877397,-95.63372388 29.83834701,-95.63533884 29.83823604,-95.63711292 29.83840299,-95.63711292 29.837529,-95.63950908 29.83738797,-95.63963904 29.83611897,-95.64386688 29.83605003,-95.645124 29.83276197,-95.64505596 29.830626,-95.64761808 29.83063896,-95.64762708 29.82912201,-95.64942708 29.82907998,-95.64942384 29.83063698,-95.65283016 29.83063302,-95.65470684 29.83103397,-95.66076384 29.83096098,-95.66193888 29.83179303,-95.66193888 29.83437504,-95.66425512 29.83437999,-95.66432208 29.83161996,-95.669379 29.83093299,-95.669127 29.82890502,-95.67304884 29.82886299,-95.67304884 29.82575403,-95.66928 29.82576897,-95.66433504 29.82200004,-95.66229204 29.81758203,-95.66189496 29.81524302)))
9560|Afton Oaks/ River Oaks|Houston|35000|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.7457785|-95.43421746|5|30300000|1.10.2|MULTIPOLYGON(((-95.453118 29.75772798,-95.45281812 29.75852799,-95.45321808 29.75892804,-95.45531796 29.75982804,-95.45501412 29.75008302,-95.45946912 29.73609396,-95.46011784 29.732229,-95.46001812 29.72922903,-95.456718 29.73022902,-95.45087988 29.73061602,-95.44791816 29.73032901,-95.44831812 29.74172904,-95.43361716 29.74152798,-95.43271716 29.74202802,-95.42269008 29.74203099,-95.41081692 29.74262796,-95.41081692 29.75422797,-95.41051704 29.75492799,-95.40846504 29.756151,-95.40831708 29.75692797,-95.40891684 29.76082803,-95.41321704 29.76232797,-95.41371708 29.75982804,-95.41601712 29.76002802,-95.41691712 29.75882796,-95.41861704 29.75762799,-95.42061684 29.759328,-95.42141712 29.75792796,-95.42231712 29.75772798,-95.423517 29.758428,-95.42411712 29.75832801,-95.42461716 29.75712804,-95.425317 29.75682798,-95.42731716 29.75992803,-95.42841696 29.76052797,-95.42931696 29.760228,-95.42861712 29.75892804,-95.43031704 29.758428,-95.43231684 29.75972796,-95.43291696 29.759328,-95.43301704 29.75772798,-95.43381696 29.757528,-95.43871692 29.75952798,-95.43891816 29.75882796,-95.43801708 29.75722803,-95.44001796 29.75682798,-95.44241808 29.75292801,-95.44381812 29.75402799,-95.445918 29.75422797,-95.44841784 29.75602797,-95.450418 29.75632803,-95.453118 29.75772798)))
9561|Alief|Houston|35000|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.68376247|-95.59139202|1|30300000|1.10.2|MULTIPOLYGON(((-95.619906 29.70112401,-95.61989016 29.69978301,-95.619843 29.69600103,-95.61978288 29.69223597,-95.61779604 29.69225604,-95.61481596 29.69228799,-95.61443616 29.69228502,-95.6126016 29.69227008,-95.61087504 29.69225604,-95.60846412 29.69227899,-95.60845512 29.68875999,-95.60838096 29.68531497,-95.608836 29.68528896,-95.60882484 29.68488999,-95.60837808 29.68495101,-95.608359 29.68384203,-95.60831004 29.67980004,-95.60874204 29.67880203,-95.60993004 29.67555303,-95.60998692 29.67551298,-95.61414096 29.67552801,-95.61711096 29.67109299,-95.62037508 29.66917203,-95.62314096 29.66549598,-95.62470588 29.66131296,-95.62616316 29.65897503,-95.62296492 29.65896909,-95.61930192 29.65896234,-95.61516696 29.65895478,-95.60983212 29.65894497,-95.60965284 29.65894461,-95.60787516 29.65894137,-95.602464 29.65893138,-95.60054088 29.65892787,-95.59788804 29.65892301,-95.5969614 29.65855797,-95.58817632 29.65509756,-95.58759312 29.65486788,-95.58433116 29.65358304,-95.57646516 29.64950964,-95.57584596 29.64918897,-95.570442 29.64953898,-95.55795 29.66111604,-95.55891696 29.66187402,-95.559363 29.66280201,-95.559921 29.67463098,-95.55672096 29.68993098,-95.55662088 29.691666,-95.55662088 29.69583102,-95.55727788 29.70452196,-95.55735888 29.71833597,-95.59252188 29.71522998,-95.62023504 29.71288503,-95.61989304 29.70515799,-95.61991716 29.70344196,-95.619906 29.70112401)))
9562|Astrodome|Houston|35000|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.6885295|-95.39466642|2|30903500|1.10.2|MULTIPOLYGON(((-95.39681688 29.67032997,-95.38197804 29.674809,-95.38179012 29.68043103,-95.37481584 29.70102897,-95.38281612 29.69953002,-95.38271604 29.70042903,-95.38531596 29.70002997,-95.38551684 29.69976798,-95.38621596 29.70002997,-95.38421616 29.70552897,-95.387616 29.70672903,-95.39021592 29.70602901,-95.39231616 29.70442899,-95.39261604 29.70362898,-95.39351604 29.70292896,-95.393916 29.70212904,-95.39641692 29.70292896,-95.39801712 29.70203004,-95.40211716 29.70133002,-95.404617 29.70053001,-95.40852012 29.69711001,-95.41281708 29.69642997,-95.414517 29.69433,-95.41331712 29.69262999,-95.412555 29.69001099,-95.41281708 29.68752996,-95.41241712 29.67793002,-95.40628308 29.67838002,-95.39253684 29.68040601,-95.39644788 29.67119802,-95.39681688 29.67032997)))
9563|The Museum District|Houston|35000|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.72668599|-95.38499448|3|30300000|1.10.2|MULTIPOLYGON(((-95.39957304 29.72573901,-95.399541 29.72322603,-95.399226 29.72278602,-95.39856504 29.72259396,-95.39810892 29.72271798,-95.39713296 29.72273103,-95.39367192 29.72067804,-95.39332488 29.72042397,-95.39236512 29.72094597,-95.39128008 29.72117898,-95.39002116 29.72113803,-95.38885692 29.72079504,-95.38887204 29.72170098,-95.38862004 29.72229201,-95.38843104 29.72258001,-95.38632288 29.72127501,-95.38492212 29.72051298,-95.38426188 29.72135799,-95.38011612 29.71882899,-95.37819588 29.71854396,-95.37673392 29.72309796,-95.37481584 29.72642904,-95.37316812 29.72862801,-95.37192684 29.72962899,-95.37131592 29.73312801,-95.37041592 29.73482802,-95.37244092 29.73373704,-95.37447384 29.73311496,-95.38452216 29.73231999,-95.38791588 29.73212901,-95.39461584 29.73142899,-95.39456904 29.72609604,-95.39505612 29.72582199,-95.39725896 29.725767,-95.39957304 29.72573901)))
9564|Braeburn|Houston|35000|N|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.6827430725098|-95.5048065185547|4|30300000|1.10.2|MULTIPOLYGON(((-95.53662108 29.67063102,-95.53542084 29.671731,-95.53262112 29.67273099,-95.53162104 29.67203097,-95.52822012 29.67143103,-95.52242016 29.67133104,-95.51522016 29.67303096,-95.51081988 29.67503103,-95.50620504 29.67580197,-95.50302012 29.67673104,-95.49524484 29.67786,-95.49271908 29.67753096,-95.49241884 29.68832997,-95.49301896 29.69143002,-95.49301896 29.69452998,-95.49301896 29.69485497,-95.52161988 29.68043103,-95.52171996 29.690631,-95.52784788 29.69078796,-95.537088 29.681064,-95.53727916 29.68117398,-95.54252112 29.67583104,-95.53662396 29.67617502,-95.53662108 29.67063102)))
