name,type,platinum
Auto miscellaneous,Auto,N,,
Auto oil change and lube services ,Auto,Y,,
Auto part stores,Auto,N,,
Automobile service general ,Auto,Y,,
Automobile tire shop,Auto,N,,
Automobile washing & waxing/detailing,Auto,Y,,
Car dealers - new,Auto,Y,,
Car dealers - used ,Auto,N,,
"Bundled packages (Internet, phone, cable)","Cable, Satellite, Phone, Internet, Utilities",N,,
Cable,"Cable, Satellite, Phone, Internet, Utilities",N,,
Cell phone,"Cable, Satellite, Phone, Internet, Utilities",N,,
Internet ,"Cable, Satellite, Phone, Internet, Utilities",N,,
Long distance,"Cable, Satellite, Phone, Internet, Utilities",N,,
Residential phone service,"Cable, Satellite, Phone, Internet, Utilities",N,,
Satellite radio,"Cable, Satellite, Phone, Internet, Utilities",N,,
Satellite TV,"Cable, Satellite, Phone, Internet, Utilities",N,,
"Utilities (electric, water, gas)","Cable, Satellite, Phone, Internet, Utilities",N,,
Family clothing stores,Clothing Stores,Y,,
Men's clothing stores,Clothing Stores,Y,,
Shoe stores,Clothing Stores,N,,
Women's accessory & specialty stores,Clothing Stores,Y,,
Women's clothing stores,Clothing Stores,Y,,
Religious organizations,Community Services,N,,
Computer & computer software stores,Electronics,Y,,
Computer repair and training,Electronics,N,,
Home studio and video/custom,Electronics,Y,,
"Radio, television & consumer electronics",Electronics,Y,,
"Bicycle, repair, parts and accessories ","Fitness, Sports and Cycling",N,,
Fitness clubs,"Fitness, Sports and Cycling",Y,,
Golf & country clubs,"Fitness, Sports and Cycling",Y,,
Pilates/yoga,"Fitness, Sports and Cycling",Y,,
Recreation centers,"Fitness, Sports and Cycling",Y,,
Sporting goods stores,"Fitness, Sports and Cycling",Y,,
Farmers market,Food and Beverage Stores,Y,,
Gourmet shops,Food and Beverage Stores,Y,,
Grocery stores,Food and Beverage Stores,Y,,
Liquor stores/Wine stores,Food and Beverage Stores,N,,
Meat market,Food and Beverage Stores,Y,,
Seafood & fish store,Food and Beverage Stores,Y,,
Furniture rental,Furniture and Home Furnishings,Y,,
Furniture stores,Furniture and Home Furnishings,Y,,
Household appliance store,Furniture and Home Furnishings,Y,,
Kitchenware &  housewares stores,Furniture and Home Furnishings,Y,,
Linen & bedding shops,Furniture and Home Furnishings,Y,,
Home accessories,Furniture and Home Furnishings,Y,,
Mattress stores,Furniture and Home Furnishings,N,,
Rent to own,Furniture and Home Furnishings,Y,,
Unfinished furniture stores,Furniture and Home Furnishings,Y,,
Department stores,General Retail,Y,,
Factory outlet stores,General Retail,Y,,
Hardware stores,General Retail,Y,,
Miscellaneous retail,General Retail,Y,,
Pawn brokers,General Retail,N,,
Shopping centers & malls,General Retail,Y,,
Cosmetic procedures,Health and Wellness,N,,
Chiropractic,Health and Wellness,N,,
Dental,Health and Wellness,N,,
Diet centers/ weight reduction salons,Health and Wellness,Y,,
"Health food, herb & vitamin stores",Health and Wellness,N,,
Holistic,Health and Wellness,N,,
Hospital,Health and Wellness,N,,
Massage therapy,Health and Wellness,N,,
Medical doctor,Health and Wellness,N,,
Medi spa,Health and Wellness,Y,,
Medical groups & clinics,Health and Wellness,Y,,
Optical good stores/Optometrists,Health and Wellness,N,,
Pharmacy,Health and Wellness,N,,
Arts & Crafts Supply Stores,Hobby/Enthusiast,Y,,
Fabric shops,Hobby/Enthusiast,N,,
Hobby toy & game shops,Hobby/Enthusiast,N,,
"Blinds, shades, drapery, curtain & upholstery store",Home Decorating and Remodeling,Y,,
Carpet and flooring store,Home Decorating and Remodeling,Y,,
Home and garage organization,Home Decorating and Remodeling,N,,
Homebuilder,Home Decorating and Remodeling,N,,
Interior design,Home Decorating and Remodeling,N,,
Lighting store,Home Decorating and Remodeling,N,,
Painters,Home Decorating and Remodeling,N,,
Remodeling,Home Decorating and Remodeling,N,,
"Screens, screen doors, screen windows and solar screens",Home Decorating and Remodeling,N,,
Air conditioning and repair,Home Services and Home Repair,N,,
Appliance repair,Home Services and Home Repair,N,,
Building supply stores,Home Services and Home Repair,Y,,
Carpet and upholstery cleaning,Home Services and Home Repair,N,,
Electricians,Home Services and Home Repair,N,,
Garage doors openers and repair,Home Services and Home Repair,N,,
Glass repair and mirrors,Home Services and Home Repair,N,,
Gutter repair,Home Services and Home Repair,N,,
Handyman,Home Services and Home Repair,N,,
Home inspector,Home Services and Home Repair,N,,
Home security and alarm service,Home Services and Home Repair,N,,
Pest control,Home Services and Home Repair,N,,
Plumber,Home Services and Home Repair,N,,
Insulation,Home Services and Home Repair,N,,
Locksmith,Home Services and Home Repair,N,,
Maid services ,Home Services and Home Repair,N,,
"Roof cleaning, roofers and roof repair",Home Services and Home Repair,N,,
Warranty services ,Home Services and Home Repair,N,,
"Water filtration,",Home Services and Home Repair,N,,
Window washing and cleaning,Home Services and Home Repair,N,,
Banks,Insurance and Financial Services,Y,,
Check cashing/rapid cash,Insurance and Financial Services,Y,,
Credit cards,Insurance and Financial Services,N,,
Financial planning,Insurance and Financial Services,N,,
Insurance ,Insurance and Financial Services,N,,
Mortgages/home loans,Insurance and Financial Services,N,,
Auto Shipping,Moving and Relocation,N,,
Movers ,Moving and Relocation,N,,
Moving services ,Moving and Relocation,N,,
Packing Supplies,Moving and Relocation,N,,
"Real estate agents, brokers & service",Moving and Relocation,Y,,
Self-storage ,Moving and Relocation,N,,
Shipping quotes ,Moving and Relocation,N,,
Fencing,Outside Living ,N,,
Grill and barbecue equipment ,Outside Living ,Y,,
Landscape and lawn service,Outside Living ,N,,
Lawn & garden supplies/nurseries,Outside Living ,Y,,
Outdoor/ casual furniture,Outside Living ,Y,,
Patios and covers ,Outside Living ,N,,
Pool sales and service ,Outside Living ,N,,
Sprinklers,Outside Living ,N,,
"Tree trimming, pruning, planting and removal",Outside Living ,N,,
Day spa,Personal Care and Services,Y,,
Dry cleaning/laundry,Personal Care and Services,Y,,
Florist,Personal Care and Services,Y,,
Hair salon,Personal Care and Services,Y,,
Manicure & pedicure salons,Personal Care and Services,Y,,
Shoe repair,Personal Care and Services,Y,,
Tanning salons,Personal Care and Services,Y,,
Veterinarian,Pets,N,,
Pet boarding kennels/pet sitting,Pets,N,,
Pet grooming services,Pets,Y,,
Pets & pet supplies,Pets,Y,,
Employment agencies,Professional Services,N,,
Legal services,Professional Services,N,,
Website design,Professional Services,N,,
Bagel store,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Bakery/ Cafe,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Bars and cocktail lounges,"Restaurants, Fast Food,  Bars and Nightclubs",N,,
Bar & grill,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Barbeque,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Cafeterias,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Cajun/ Creole restaurant,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Casual dining,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Chicken,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Chili restaurant,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Chinese,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Coffee shops,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Continental,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Cuban restaurant,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Delicatessens,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Diner,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Donut shops,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Fast food,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Fine dining,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Fondue,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
French,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
German,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Greek,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Hamburgers ,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Hotdogs,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Ice cream & frozen custard,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Indian & Pakistan,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Irish restaurant & pub,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Italian,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Japanese,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Juice bar/ smoothie shop,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Korean & Vietnamese,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Mexican,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Middle East,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Pizza dine in,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
"Restaurant delivery (Pizza, Chinese, miscellaneous)","Restaurants, Fast Food,  Bars and Nightclubs",N,,
Salad buffet,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Sandwich shops,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Seafood,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Southwestern,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Sports bar,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Steak houses,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Spanish,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Sushi bar,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Tea room,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Thai,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Wraps/ gourmet pitas,"Restaurants, Fast Food,  Bars and Nightclubs",Y,,
Book stores,Specialty Retail,Y,,
Art & frame shops,Specialty Retail,Y,,
Cosmetic and perfume stores,Specialty Retail,Y,,
Gift shops,Specialty Retail,Y,,
Greeting card shops,Specialty Retail,Y,,
Office supply stores,Specialty Retail,Y,,
Party supplies/party rentals ,Specialty Retail,N,,
Portrait studios/photography,Specialty Retail,N,,
Stationery stores,Specialty Retail,Y,,
Video/music stores,Specialty Retail,Y,,
Video rental store,Specialty Retail,Y,,
Dance studios,"Schools, Daycare, Lessons",Y,,
Daycare services,"Schools, Daycare, Lessons",N,,
Gymnastics,"Schools, Daycare, Lessons",Y,,
Martial arts,"Schools, Daycare, Lessons",Y,,
Schools ,"Schools, Daycare, Lessons",N,,
Technical institutes,"Schools, Daycare, Lessons",Y,,
Airfare,Travel and Entertainment,N,,
Amusement & recreation activities,Travel and Entertainment,Y,,
Amusement parks,Travel and Entertainment,Y,,
Bowling centers,Travel and Entertainment,Y,,
