Merchant,OrgID,PageID,CouponID,Address
Bicycle Sport Shop,168,1095,722,517 S. Lamar Blvd.
Bicycle Sport Shop,168,1095,722,517 S. Lamar Blvd.
Bicycle Sport Shop,168,1095,722,517 S. Lamar Blvd.
Black Sheep Lodge,170,1099,723,2108 S. Lamar Blvd.
Black Sheep Lodge,170,1099,723,2108 S. Lamar Blvd.
Black Sheep Lodge,170,1099,723,2108 S. Lamar Blvd.
RunTex,198,1132,747,422 W. Riverside Dr.
RunTex,198,1132,747,422 W. Riverside Dr.
RunTex,198,1132,747,422 W. Riverside Dr.
Austin Land & Cattle Company,199,1133,748,1205 N Lamar Blvd
Austin Land & Cattle Company,199,1133,748,1205 N Lamar Blvd
Austin Land & Cattle Company,199,1133,748,1205 N Lamar Blvd
Paggi House,200,1134,749,200 Lee Barton Drive
Beets Cafe,201,1135,750,1611 W 5th St
Beets Cafe,201,1135,750,1611 W 5th St
Beets Cafe,201,1135,750,1611 W 5th St
Gibson Bar,203,1137,752,1109 S. Lamar Blvd.
Gibson Bar,203,1137,752,1109 S. Lamar Blvd.
Gibson Bar,203,1137,752,1109 S. Lamar Blvd.
Gibson Bar,203,1137,752,1109 S. Lamar Blvd.
Gibson Bar,203,1137,752,1109 S. Lamar Blvd.
Gibson Bar,203,1137,752,1109 S. Lamar Blvd.
Gibson Bar,203,1137,752,1109 S. Lamar Blvd.
Mr. Natural,226,1161,762,2414 South Lamar Boulevard
Mr. Natural,226,1161,762,2414 South Lamar Boulevard
Kenichi Ausin,227,1162,763,419 Colorado Street
Kenichi Ausin,227,1162,763,419 Colorado Street
Kenichi Ausin,227,1162,763,419 Colorado Street
Kenichi Ausin,227,1162,763,419 Colorado Street
Kenichi Ausin,227,1162,763,419 Colorado Street
Kenichi Ausin,227,1162,763,419 Colorado Street
House Wine,228,1163,764,408 Josephine Street
House Wine,228,1163,764,408 Josephine Street
Ostioneria El Capri,229,1164,765,"5516 Fry Road, Suite A"
Ostioneria El Capri,229,1164,765,"5516 Fry Road, Suite A"
Ostioneria El Capri,229,1164,765,"5516 Fry Road, Suite A"
Cornbread & Collin's Greens,231,1166,767,472 South Fry Road
Cornbread & Collin's Greens,231,1166,767,472 South Fry Road
Cornbread & Collin's Greens,231,1166,767,472 South Fry Road
CIELO,236,1172,771,2830 Real Street
Rain on 4th,237,1173,772,217 West 4th Street
Kung Fu Saloon,238,1174,773,510 Rio Grande
Wahoo's Fish Taco,239,1175,774,509-A Rio Grande St.
Dog & Duck Pub,241,1177,776,406 West 17th Street
Baker St. Pub & Grill,242,1178,777,3003 South Lamar Blvd.
Third Base,243,1179,778,1717 West 6th Street
The Blind Pig Pub,244,1180,780,317 East 6th Street
Annies West,245,1181,781,706 West 6th Street
The Iron Bear,246,1182,782,121 West 8th Street
Opal Divines,247,1183,783,700 West 6th Street
El Arroyo,257,1193,793,1624 West 5th Street
Mel's Meals,258,1194,794,507 North Lamar
Jo's,259,1195,795,242 West 2nd Street
Medical Uniforms,261,1197,797,16126 Southwest Freeway
Tacos & Tequila,264,1199,799,507 Pressler
Royal Blue Grocery,265,1201,800,609 Congress Avenue
Hut's Hamburgers,266,1203,801,807 West 6th Street
Amy's Ice Cream,269,1206,802,1012 West 6th Street
Phil's Ice House,270,1207,803,2901 South Lamar
59 Diner,272,1209,804,20210 Katy Freeway
Ranch 616,273,1210,805,616 Nueces
219 West,274,1211,806,219 West 4th Street
The Jackalope,275,1212,807,404 East 6th Street
Casino El Camino,276,1213,808,517 East 6th Street
Sakura Tokyo,277,1214,809,"24110 NW Freeway, Suite 100"
ThunderCloud Subs,278,1215,810,2308 Lake Austin Blvd
Chinatown Downtown,279,1216,811,107 West 5th Street
Z Tejas Southwestern Grill,280,1217,812,1110 West 6th Street
Lucy's,281,1218,813,506 West Avenue
Logan Farms Honey Glazed Hams,282,1221,814,10650 Westhiermer
Longhorn Collision Center,283,1222,815,1607 South Lamar Boulavard
Foga De Chao,284,1223,816,309 East 3rd Street
St. Bernard Sports,285,1224,817,401 West 3rd Street
Austin Urban Vet Center,286,1225,818,701 West 5th Street
The Melting Pot,287,1226,819,305 East 3rd Street
Cedar Door Bar & Grill,288,1227,820,201 Brazos Street
Frank And Angie's Pizzeria,290,1229,822,508 West Avenue
Shoal Creek Saloon,291,1230,823,909 North Lamar
Enzo Austin,292,1231,824,801 West 5th Street
PM Media,293,1232,825,4330 Bull Creek Road
Joie De Vie Salon,295,1235,826,713 E. 6th Street
Play N Trade,297,1242,833,4301 W. William Cannon Bldg E2 Ste 210
Yanagi Japanese Restaurant and Sushi Bar,303,1243,834,4404 W. William Cannon Dr. Suite B
Cabo Bob's Burritos,304,1244,835,500 E. Ben White Blvd.
Wings To Go,305,1245,836,6611 S Mo-pac Expwy #A600
"Dane's Auto Repair, Inc.",306,1246,837,14008 Huffmeister Rd
Journey's Hair Studio & Spa Jaeger,307,1247,838,15210 Spring Cypress Rd
Jade Bamboo,308,1248,839,7029 Barker Cypress Rd
Vintage Car Wash,309,1249,840,9855 Louetta Rd
Dave's Hoagie House,310,1250,841,"15202 Mason Rd, Suite 700"
Taco De Oro,311,1251,842,9740 Barker Cypress
Anything Trendy,312,1252,843,12930 Grant Rd.
KB Master Cleaners,313,1253,844,"15210 Spring Cypress Rd., Suite A"
KB Master Cleaners,314,1254,845,10730 Barker Cypress Rd.
KB Master Cleaners,315,1255,846,14207 Barker Cypress
KB Master Cleaners,316,1256,847,9803 Spring Cypress Rd
Cy-Fair Family Eye Care,317,1257,848,26270 Northwest Fwy
Fancy Pants Boutique,318,1258,849,18520 Kuykendahl Rd
Ignite Energy,319,1259,850,18520 Kuykendahl Rd
Lorever Hair Salon,320,1260,851,"8611 Louetta, Suite 201"
Rising Hearts Yoga Studio,321,1261,852,"8220 Louetta Rd, #146"
La Casita,322,1262,853,"5803 N. Fry Rd, Ste 103"
Red Robin,323,1263,854,22455 State Hwy 249
K 9 Social Club,324,1264,855,"8320 Louetta Rd, Suite 135"
d'Vine Wine Bar,325,1265,856,"25202 Northwest Freeway, Suite 100"
Hero Martial Arts,326,1266,857,7818 Spring Cypress Rd
El Corral Mexican Restaurant,327,1267,858,22432 Tomball Parkway
Copperfield Bowl,328,1268,859,15615 Glen Chase Dr.
The Backyard Grill,329,1269,860,9453 Jones Rd
Romero's Las Brazas,330,1270,861,15703 Longenbaugh -A
Steak 'N Shake,331,1271,862,12611 FM 1960 West
Posh Nail Studio,332,1272,863,25314 FM 2978
Rain Forest Auto Center,334,1274,865,7110 Barker Cypress Rd
Cliff's Car Tech,335,1275,866,17525 FM 529
Simply Splendid Donuts & Ice Cream,336,1276,867,10130 Grant Rd
Simply Splendid Donuts & Ice Cream,337,1277,868,1797 N Fry Rd
Sugarland Donuts,338,1278,869,14009-C F.M. 1464
Simply Splendid Donuts & Ice Cream,339,1279,870,4410 Westway Park Blvd
4G Guys,340,1280,871,"9150 S. Main, Ste.A"
Michel Auto Cares,341,1281,872,12205 Holderrieth Rd
Bling It On Fashion Boutique,342,1282,873,13243 Jones Rd
Sound Fitness,343,1283,874,12600 FM 1960 W
Las Fuentes,344,1284,875,6960 FM 1488
Las Fuentes,345,1285,876,201 Highway 290 E
Las Fuentes,346,1286,877,18306 FM 1488
Santikos Silverado IMAX,347,1287,878,24720 Tomball Parkway
Hand Painted By,348,1288,879,14814 Brown Rd
Fill Ur Wallet Resale/Consignment Store,349,1289,880,"32015 Tomball Parkway, #119"
Candlelight Cakes,350,1290,881,"32015 SH 249, # 117"
Tomball Bowling Center,351,1291,882,14435 FM 2920
"Aloha Donuts, Inc",352,1292,883,"25435 FM 2978, Suite 106"
Funkie Flamingo Boutique,353,1293,884,"6911 FM 1488, Ste D"
Nutrition Depot Sterling Ridge,354,1294,885,"8008 Ashlane Way, Suite 130"
Maui Wowi,355,1295,886,3715 Washington
Martinis & More,356,1296,887,311B Sawdust Rd
The UPS Store,357,1297,888,"7 Switchbud PL, Ste C192"
Smoothie Factory,358,1298,889,3335 College Park Dr
Sterling Ridge Pool Supply Plus,359,1299,890,8000 McBeth Way
Cold Stone Creamery,360,1300,891,"9595 Six Pines Dr., Suite 920"
Pure Healthy Eatery,361,1301,892,"4223 Research Forest Dr, Ste 350"
Ashlane Cleaners,362,1302,893,"8008 Ashlane Way, Suite 100"
Dry Clean Super Center,363,1303,894,33031 FM 2978
Gozzetti's Pizza,364,1304,895,8000 McBeth Way
Gozzetti's Pizza,365,1305,896,25919 I-45 North
Denny's,366,1306,897,26050 Hwy 290
Denny's,367,1307,898,1579 Fry Road
Denny's,368,1308,899,11511 West Airport Blvd
Denny's,369,1309,900,6969 Gulf Frwy
Potato Shack,370,1310,901,405 A University
Potato Shack,371,1311,902,"12815 FM 2154, #172"
7 - 7 Cleaners & Alterations,372,1312,903,1630 Mason Rd
7 - 7 Cleaners & Alterations,373,1313,904,1201 - G Westheimer Rd
7 - 7 Cleaners & Alterations,374,1314,905,411 - B Richmond Ave
Uncle Lee's Cafe II,375,1315,906,22044 Westheimer
Nikko Sushi & Sake,376,1316,907,410 W. Grand Parkway
Pinoy Kusina,377,1317,908,873 South Mason Rd
Christian Brothers Automotive,378,1318,909,3838 N. Fry Rd
Animal Tales,379,1319,910,"23930 Westheimer Pkwy, Suite 115"
Stars Sportsbar & Grill,380,1320,911,"414 W Grand Parkway, #190"
Lotus Nails,381,1321,912,"23930 Westheimer Pkwy, Suite 109"
Mazzei's Gourmet Pizza,382,1322,913,6868 S. Mason Rd.
Red Robin,383,1323,914,23318 Mercantile Pkwy
Sport Clips,384,1324,915,23501 Cinco Ranch Blvd.
Sport Clips,385,1325,916,22720 Bellaire Blvd
